Nombres,Apellidos,id,email,user_id,age,occupation,FinancialGoals,RiskTolerance,FinancialPreference,FinancialOptions,FinalKnowledge,target_period,income_source,income_average,expenses_average,saving_plan,contribution
Itabt,Ukwce,563031,itabt.ukwce@gmail.com,563031,32,Escritor,VACACIONES,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,ambos,558492,522118,SI,46
Mifhrdz,Yqyynvnqqc,671152,mifhrdz.yqyynvnqqc@hotmail.com,671152,57,Locutores de radio y televisión y afines,JUBILACION,ARRIESGADO,INVERSION,OTROS,BASICO,10 años,ambos,706293,632258,SI,53
Hlmiqpzp,Lfoafkr,637803,hlmiqpzp.lfoafkr@yahoo.com,637803,36,Dentista,VACACIONES,ARRIESGADO,INVERSION,OTROS,BASICO,1 mes,dependiente,304427,217372,NO,50
Eevy,Tuhpqql,528739,eevy.tuhpqql@hotmail.com,528739,28,Estadístico,JUBILACION,ARRIESGADO,AHORRO,,INTERMEDIO,10 años,ambos,729109,500125,NO,32
Xubv,Qzzzudkd,361457,xubv.qzzzudkd@hotmail.com,361457,43,Operador de máquina,PROYECTOS_LARGO_PLAZO,CONSERVADOR,INVERSION,BONOS,AVANZADO,1 año,dependiente,592212,417992,NO,90
Rgfvvvk,Akkxa,524369,rgfvvvk.akkxa@yahoo.com,524369,47,Ingeniero mecánico,VIVIENDA,ARRIESGADO,AHORRO,,BASICO,1 año,dependiente,644191,379030,NO,88
Shlpp,Imapdozui,777228,shlpp.imapdozui@hotmail.com,777228,43,Locutores de radio y televisión y afines,LIBERTAD_FINANCIERA,ARRIESGADO,AHORRO,,NINGUNO,1 mes,dependiente,483974,249754,SI,15
Zblmcf,Amahdxu,892786,zblmcf.amahdxu@outlook.com,892786,59,Farmacólogos,JUBILACION,ARRIESGADO,INVERSION,ACCIONES,NINGUNO,10 años,ambos,349035,305327,SI,75
Laekc,Zckubvyrql,241934,laekc.zckubvyrql@outlook.com,241934,22,Químico,IMPREVISTOS,CONSERVADOR,INVERSION,ETFS,BASICO,1 mes,dependiente,338353,204386,NO,61
Qwnp,Ohzucest,896576,qwnp.ohzucest@yahoo.com,896576,27,Ingeniero de telecomunicaciones,OTROS,CONSERVADOR,AHORRO,,AVANZADO,1 mes,ambos,620374,349897,SI,28
Yaxvw,Tdvizq,267213,yaxvw.tdvizq@yahoo.com,267213,20,Geólogo,LIBERTAD_FINANCIERA,MODERADO,INVERSION,ACCIONES,AVANZADO,10 años,dependiente,430428,282033,NO,42
Zrhl,Xufostikyx,951770,zrhl.xufostikyx@yahoo.com,951770,49,Soldador,JUBILACION,ARRIESGADO,INVERSION,BONOS,INTERMEDIO,1 mes,dependiente,372696,251678,NO,81
Rarwu,Migjuf,123745,rarwu.migjuf@yahoo.com,123745,59,Mozos y taberneros,JUBILACION,MODERADO,INVERSION,OTROS,BASICO,10 años,independiente,837656,538478,NO,80
Ypymdai,Gscmplz,948971,ypymdai.gscmplz@yahoo.com,948971,34,Ingeniero electricista,VACACIONES,ARRIESGADO,INVERSION,ETFS,INTERMEDIO,5 meses,ambos,701080,371594,SI,32
Lxmlbnok,Ntcwfss,804894,lxmlbnok.ntcwfss@gmail.com,804894,44,Modelos de moda,IMPREVISTOS,MODERADO,AHORRO,,AVANZADO,5 meses,independiente,577149,489811,SI,76
Lpoumrls,Ejscctqsh,749223,lpoumrls.ejscctqsh@gmail.com,749223,28,Sociólogos,OTROS,CONSERVADOR,AHORRO,,AVANZADO,1 año,dependiente,572625,427262,NO,1
Yjhtyxn,Qybuf,361906,yjhtyxn.qybuf@yahoo.com,361906,36,Psicólogos,EDUCACION,CONSERVADOR,INVERSION,ACCIONES,INTERMEDIO,10 años,ambos,471094,255551,NO,96
Hirk,Dikbro,685790,hirk.dikbro@outlook.com,685790,21,Veterinario,VIVIENDA,MODERADO,AHORRO,,NINGUNO,1 mes,dependiente,425761,310387,SI,13
Lutv,Ghqmr,881991,lutv.ghqmr@yahoo.com,881991,19,Mecánico,EDUCACION,ARRIESGADO,INVERSION,ACCIONES,AVANZADO,1 año,ambos,475206,367362,NO,28
Zxoh,Omjuljzxb,323026,zxoh.omjuljzxb@gmail.com,323026,28,Diseñador de interiores,JUBILACION,CONSERVADOR,AHORRO,,AVANZADO,10 años,ambos,289979,198170,SI,87
Jdzzivdg,Txsqj,111365,jdzzivdg.txsqj@outlook.com,111365,54,Recepcionista,JUBILACION,ARRIESGADO,INVERSION,OTROS,INTERMEDIO,1 mes,dependiente,802411,793568,NO,77
Rilidw,Qwxgatss,737271,rilidw.qwxgatss@outlook.com,737271,43,Ingeniero de telecomunicaciones,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,AVANZADO,1 mes,dependiente,757371,669386,SI,42
Rnnuvyv,Tmzpjzq,546092,rnnuvyv.tmzpjzq@gmail.com,546092,25,Piloto,JUBILACION,ARRIESGADO,AHORRO,,BASICO,10 años,dependiente,485100,404247,SI,48
Ijiiup,Lbvcfgmrh,529740,ijiiup.lbvcfgmrh@hotmail.com,529740,66,Fisioterapeuta,IMPREVISTOS,MODERADO,INVERSION,ACCIONES,BASICO,1 año,dependiente,649780,364186,NO,68
Iytvoovb,Tlabwmd,384436,iytvoovb.tlabwmd@yahoo.com,384436,41,Profesionales del trabajo social,JUBILACION,CONSERVADOR,AHORRO,,BASICO,1 año,ambos,739824,430917,NO,35
Pvsd,Runrqmsq,347831,pvsd.runrqmsq@yahoo.com,347831,42,Agente de viaje,EDUCACION,MODERADO,AHORRO,,AVANZADO,1 año,dependiente,615956,362477,NO,3
Afnqissk,Fkggqzjo,960962,afnqissk.fkggqzjo@gmail.com,960962,32,Diseñador de interiores,VACACIONES,CONSERVADOR,INVERSION,OTROS,INTERMEDIO,1 año,dependiente,348539,288070,SI,44
Bxlg,Srfiygqj,625165,bxlg.srfiygqj@gmail.com,625165,70,Filósofos,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,NINGUNO,1 año,jubilación,832886,794116,SI,22
Deao,Rrnlmdpzo,650459,deao.rrnlmdpzo@yahoo.com,650459,66,Biólogo,JUBILACION,ARRIESGADO,INVERSION,CDF,INTERMEDIO,1 año,jubilación,810390,522308,NO,40
Vsxfuivh,Gdplj,196862,vsxfuivh.gdplj@yahoo.com,196862,31,Programador informático,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,AVANZADO,5 meses,ambos,863483,458641,SI,17
Batpowei,Ewoqvhbru,831925,batpowei.ewoqvhbru@yahoo.com,831925,25,Bibliotecario,JUBILACION,ARRIESGADO,AHORRO,,INTERMEDIO,10 años,dependiente,437404,282331,NO,77
Zwvfrlfc,Odfjitd,496486,zwvfrlfc.odfjitd@outlook.com,496486,22,Bibliotecario,PROYECTOS_LARGO_PLAZO,MODERADO,AHORRO,,INTERMEDIO,1 año,ambos,640703,547083,NO,100
Mturdypd,Iqxldxne,883977,mturdypd.iqxldxne@yahoo.com,883977,53,Abogado,IMPREVISTOS,CONSERVADOR,AHORRO,,INTERMEDIO,5 meses,dependiente,680522,678655,NO,47
Uptxlw,Xsdant,567403,uptxlw.xsdant@yahoo.com,567403,63,Geólogo,IMPREVISTOS,CONSERVADOR,INVERSION,ACCIONES,NINGUNO,5 meses,dependiente,531875,526124,NO,77
Dmeio,Iodut,583885,dmeio.iodut@yahoo.com,583885,59,Policía,IMPREVISTOS,CONSERVADOR,AHORRO,,INTERMEDIO,1 mes,ambos,519498,391387,SI,76
Dvmrdo,Ytnba,257229,dvmrdo.ytnba@outlook.com,257229,58,Veterinario,JUBILACION,MODERADO,INVERSION,CDEARS,INTERMEDIO,10 años,independiente,493468,410865,NO,100
Hvjhzm,Nzqujptqmy,919494,hvjhzm.nzqujptqmy@hotmail.com,919494,46,Técnicos en seguridad aeronáutica,JUBILACION,MODERADO,INVERSION,BONOS,BASICO,5 meses,independiente,706472,365709,SI,47
Xojgdg,Cwempludk,304446,xojgdg.cwempludk@outlook.com,304446,49,Gerentes de empresas,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,NINGUNO,1 año,ambos,758304,626867,SI,38
Uawgpr,Ufelfp,268940,uawgpr.ufelfp@outlook.com,268940,38,Diseñador de interiores,OTROS,ARRIESGADO,AHORRO,,NINGUNO,5 meses,dependiente,422523,407909,SI,80
Kpotrzm,Jqrgwsfjzd,466895,kpotrzm.jqrgwsfjzd@yahoo.com,466895,68,Ingeniero de telecomunicaciones,LIBERTAD_FINANCIERA,MODERADO,AHORRO,,BASICO,5 meses,dependiente,637829,629474,NO,37
Jvibhcr,Fzavruni,203548,jvibhcr.fzavruni@gmail.com,203548,67,Abogado,IMPREVISTOS,ARRIESGADO,AHORRO,,AVANZADO,1 mes,ambos,701557,694866,SI,16
Fbmjxp,Dbxfqkt,455467,fbmjxp.dbxfqkt@yahoo.com,455467,22,Coreógrafo,IMPREVISTOS,CONSERVADOR,AHORRO,,AVANZADO,1 año,ambos,449911,413212,SI,88
Vkzvomp,Phqoxzxsk,144501,vkzvomp.phqoxzxsk@hotmail.com,144501,45,Personal doméstico,JUBILACION,CONSERVADOR,INVERSION,ACCIONES,BASICO,1 mes,ambos,510955,478814,SI,32
Nbma,Lkconoz,353408,nbma.lkconoz@gmail.com,353408,39,Personal doméstico,JUBILACION,MODERADO,AHORRO,,INTERMEDIO,10 años,ambos,558252,294042,NO,47
Vlwshen,Mmidhh,113663,vlwshen.mmidhh@yahoo.com,113663,61,Operadores de equipos ópticos y electrónicos,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,AVANZADO,5 meses,ambos,442439,224645,SI,11
Npps,Zvzmtosd,354084,npps.zvzmtosd@outlook.com,354084,20,Matemático,VIVIENDA,CONSERVADOR,AHORRO,,NINGUNO,1 año,independiente,875455,673453,SI,99
Ydzdd,Ddmau,384794,ydzdd.ddmau@hotmail.com,384794,68,Actor,EDUCACION,ARRIESGADO,INVERSION,OTROS,NINGUNO,1 año,dependiente,518655,363177,SI,56
Wuennjd,Kzhuqm,738870,wuennjd.kzhuqm@yahoo.com,738870,23,Diseñador de interiores,VIVIENDA,MODERADO,AHORRO,,AVANZADO,1 año,ambos,478033,291996,NO,92
Uswqsej,Jjunaeb,893903,uswqsej.jjunaeb@outlook.com,893903,41,,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,CDF,AVANZADO,5 meses,dependiente,307407,296309,NO,19
Wvwvj,Tidjrgcoo,978024,wvwvj.tidjrgcoo@outlook.com,978024,32,Arquitecto,VIVIENDA,ARRIESGADO,INVERSION,CDF,AVANZADO,1 mes,ambos,824197,568115,SI,90
Lsnif,Agwgeln,928391,lsnif.agwgeln@hotmail.com,928391,24,Programador informático,JUBILACION,ARRIESGADO,AHORRO,,NINGUNO,1 mes,dependiente,663321,375639,NO,37
Lhfpjp,Bgpedniux,493218,lhfpjp.bgpedniux@yahoo.com,493218,54,Técnico,OTROS,MODERADO,INVERSION,OTROS,BASICO,1 mes,independiente,794443,596555,NO,68
Jnautfg,Hkgpszz,498956,jnautfg.hkgpszz@outlook.com,498956,64,Ingeniero electricista,LIBERTAD_FINANCIERA,ARRIESGADO,INVERSION,BONOS,AVANZADO,5 meses,ambos,826600,713342,SI,89
Buiubst,Jlcijoaki,230889,buiubst.jlcijoaki@gmail.com,230889,62,Catador,IMPREVISTOS,CONSERVADOR,AHORRO,,NINGUNO,1 año,independiente,623352,469346,NO,86
Wkuts,Phqfnzd,906858,wkuts.phqfnzd@outlook.com,906858,47,Operador de máquina,JUBILACION,MODERADO,AHORRO,,NINGUNO,10 años,dependiente,361447,241527,NO,90
Wycxlln,Ttgvuyz,927542,wycxlln.ttgvuyz@outlook.com,927542,67,Conserje,LIBERTAD_FINANCIERA,ARRIESGADO,AHORRO,,NINGUNO,1 mes,ambos,722797,423851,NO,2
Qpqvkib,Cbrdtj,779989,qpqvkib.cbrdtj@hotmail.com,779989,32,Agentes comerciales y corredores,VACACIONES,ARRIESGADO,INVERSION,CDF,BASICO,1 mes,ambos,457240,361846,SI,85
Ygwv,Qfhyp,196576,ygwv.qfhyp@gmail.com,196576,33,Abogado,JUBILACION,CONSERVADOR,INVERSION,OTROS,NINGUNO,1 año,ambos,330029,290559,SI,50
Bsdjx,Qneahcszeh,611128,bsdjx.qneahcszeh@outlook.com,611128,49,Agente de bolsa,PROYECTOS_LARGO_PLAZO,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,dependiente,378575,190657,SI,95
Vprj,Tifvxu,839296,vprj.tifvxu@yahoo.com,839296,32,Operadores de equipos de radiodifusión,EDUCACION,MODERADO,AHORRO,,INTERMEDIO,5 meses,ambos,427973,231393,NO,34
Ukbfdyi,Gebpwl,177968,ukbfdyi.gebpwl@outlook.com,177968,34,Chapistas y caldereros,OTROS,MODERADO,INVERSION,ACCIONES,NINGUNO,5 meses,ambos,617793,402111,SI,72
Kyhwb,Ltzagkvxui,805929,kyhwb.ltzagkvxui@gmail.com,805929,23,Secretaria,LIBERTAD_FINANCIERA,CONSERVADOR,INVERSION,OTROS,BASICO,1 mes,dependiente,479576,277249,NO,3
Cxmkbaj,Tqjniyo,515416,cxmkbaj.tqjniyo@hotmail.com,515416,41,Agentes público,VIVIENDA,ARRIESGADO,INVERSION,BONOS,BASICO,1 mes,independiente,379504,254147,NO,46
Eicvuh,Xbfzbem,757646,eicvuh.xbfzbem@yahoo.com,757646,65,Psicólogos,IMPREVISTOS,CONSERVADOR,AHORRO,,NINGUNO,1 mes,independiente,547543,536447,SI,36
Bzychfey,Gibzwqvfc,516203,bzychfey.gibzwqvfc@gmail.com,516203,32,Directores general,VACACIONES,MODERADO,INVERSION,BONOS,NINGUNO,10 años,independiente,556237,395222,SI,99
Wdehdxs,Ynnqckjy,508929,wdehdxs.ynnqckjy@yahoo.com,508929,30,Locutores de radio y televisión y afines,IMPREVISTOS,ARRIESGADO,INVERSION,OTROS,INTERMEDIO,10 años,ambos,733751,662867,NO,1
Pbhp,Zftxoatp,695385,pbhp.zftxoatp@hotmail.com,695385,45,Agentes comerciales y corredores,OTROS,ARRIESGADO,AHORRO,,INTERMEDIO,10 años,ambos,744068,710682,NO,26
Mkwy,Jwogucijgj,961609,mkwy.jwogucijgj@hotmail.com,961609,69,Músico,VACACIONES,MODERADO,INVERSION,BONOS,INTERMEDIO,5 meses,ambos,386484,281130,NO,86
Amrnhb,Bivxk,815755,amrnhb.bivxk@outlook.com,815755,21,,LIBERTAD_FINANCIERA,ARRIESGADO,AHORRO,,AVANZADO,10 años,ambos,894653,717450,NO,50
Xwrvl,Pcfke,321132,xwrvl.pcfke@hotmail.com,321132,34,Conserje,VACACIONES,MODERADO,INVERSION,ETFS,BASICO,10 años,independiente,776725,771414,NO,62
Jfwzx,Rgfhmhlfhn,286371,jfwzx.rgfhmhlfhn@gmail.com,286371,35,Agente inmobiliario,IMPREVISTOS,ARRIESGADO,INVERSION,CDEARS,INTERMEDIO,1 año,dependiente,295991,261959,NO,70
Duljhf,Igngo,892084,duljhf.igngo@yahoo.com,892084,37,Locutores de radio y televisión y afines,OTROS,ARRIESGADO,INVERSION,OTROS,NINGUNO,1 año,ambos,562614,389329,NO,45
Klwqg,Moyvjcvq,999883,klwqg.moyvjcvq@outlook.com,999883,24,Recepcionista,JUBILACION,ARRIESGADO,INVERSION,ACCIONES,NINGUNO,5 meses,ambos,791112,651870,SI,3
Pevi,Ykpbcvjxki,626745,pevi.ykpbcvjxki@outlook.com,626745,20,Policía,JUBILACION,MODERADO,AHORRO,,INTERMEDIO,10 años,independiente,737242,688277,NO,86
Rczaz,Eqgblml,299405,rczaz.eqgblml@gmail.com,299405,49,Odontólogo,JUBILACION,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,independiente,853423,450885,NO,17
Frrqyw,Fzqtaqdo,705791,frrqyw.fzqtaqdo@gmail.com,705791,39,Creadores y analistas de sistemas informáticos,OTROS,CONSERVADOR,INVERSION,CDEARS,BASICO,10 años,ambos,306223,300721,NO,99
Uolz,Qvjcr,956762,uolz.qvjcr@hotmail.com,956762,53,Técnico,JUBILACION,ARRIESGADO,AHORRO,,BASICO,1 mes,dependiente,726390,382071,NO,6
Sazirue,Ycupjeii,762651,sazirue.ycupjeii@yahoo.com,762651,22,Asistente veterinario,OTROS,MODERADO,AHORRO,,NINGUNO,1 año,dependiente,616158,549829,SI,68
Mzseys,Yuptecph,392020,mzseys.yuptecph@hotmail.com,392020,52,Técnico,PROYECTOS_LARGO_PLAZO,MODERADO,INVERSION,OTROS,AVANZADO,5 meses,dependiente,307875,263832,NO,70
Aajl,Fqyiuu,464243,aajl.fqyiuu@outlook.com,464243,64,Locutores de radio y televisión y afines,VIVIENDA,CONSERVADOR,INVERSION,BONOS,BASICO,10 años,ambos,452827,299303,NO,96
Dhrtzqat,Nuunlsmmpi,821426,dhrtzqat.nuunlsmmpi@yahoo.com,821426,41,Mozos y taberneros,JUBILACION,ARRIESGADO,INVERSION,OTROS,AVANZADO,5 meses,dependiente,698267,649922,SI,6
Hafh,Iuielmkc,273991,hafh.iuielmkc@outlook.com,273991,41,Cartógrafos y agrimensores,OTROS,ARRIESGADO,AHORRO,,BASICO,10 años,dependiente,364464,316630,NO,11
Ktsyqys,Dytkq,833634,ktsyqys.dytkq@hotmail.com,833634,49,Directores general,JUBILACION,MODERADO,INVERSION,CDEARS,INTERMEDIO,1 mes,ambos,567496,398723,SI,23
Pskpotav,Uybjby,445586,pskpotav.uybjby@hotmail.com,445586,20,Operador,VIVIENDA,CONSERVADOR,INVERSION,BONOS,AVANZADO,1 mes,ambos,711910,511571,SI,11
Clhempm,Raaiu,900426,clhempm.raaiu@yahoo.com,900426,49,Químico,IMPREVISTOS,MODERADO,INVERSION,BONOS,BASICO,5 meses,independiente,668907,661337,SI,46
Llmjoyn,Xrtfunjaas,630741,llmjoyn.xrtfunjaas@yahoo.com,630741,24,Conserje,EDUCACION,MODERADO,INVERSION,CDEARS,INTERMEDIO,1 año,dependiente,781046,649064,SI,69
Lvaz,Uqkxvlo,578669,lvaz.uqkxvlo@gmail.com,578669,21,,IMPREVISTOS,CONSERVADOR,AHORRO,,INTERMEDIO,1 año,dependiente,868385,445208,SI,13
Xwzqnk,Rjwrz,221783,xwzqnk.rjwrz@hotmail.com,221783,39,Coreógrafo,EDUCACION,CONSERVADOR,INVERSION,ETFS,INTERMEDIO,1 mes,dependiente,832420,471276,NO,93
Wrih,Gyctrel,341797,wrih.gyctrel@hotmail.com,341797,44,Agentes comerciales y corredores,IMPREVISTOS,ARRIESGADO,AHORRO,,BASICO,5 meses,ambos,553220,452817,SI,97
Vslkoahp,Ljdbdvzd,323422,vslkoahp.ljdbdvzd@outlook.com,323422,41,Geólogo,EDUCACION,ARRIESGADO,INVERSION,ETFS,BASICO,1 mes,dependiente,763233,615028,SI,23
Yfmptm,Gdicdeszfz,147337,yfmptm.gdicdeszfz@gmail.com,147337,68,Filósofos,JUBILACION,ARRIESGADO,INVERSION,CDF,BASICO,10 años,dependiente,729000,571564,SI,15
Lddb,Pezikusfv,414185,lddb.pezikusfv@yahoo.com,414185,61,Matemático,VIVIENDA,ARRIESGADO,AHORRO,,NINGUNO,1 mes,dependiente,443002,298691,SI,37
Moozbi,Wewucjgyjl,801970,moozbi.wewucjgyjl@gmail.com,801970,20,Cocinero,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,CDF,INTERMEDIO,10 años,dependiente,690865,451983,NO,4
Ibvjt,Wgeusw,539324,ibvjt.wgeusw@outlook.com,539324,58,Ingenieros de minas,JUBILACION,CONSERVADOR,INVERSION,CDF,AVANZADO,5 meses,independiente,386895,272945,SI,47
Pygkrj,Bhbyltdu,484939,pygkrj.bhbyltdu@yahoo.com,484939,45,Economista,LIBERTAD_FINANCIERA,CONSERVADOR,AHORRO,,AVANZADO,1 mes,independiente,514599,504211,NO,51
Wpwrd,Aljbv,512805,wpwrd.aljbv@gmail.com,512805,47,Mozos y taberneros,IMPREVISTOS,ARRIESGADO,AHORRO,,INTERMEDIO,1 año,independiente,770914,400602,SI,42
Ixzio,Ncndxsem,571123,ixzio.ncndxsem@yahoo.com,571123,68,Coreógrafo,PROYECTOS_LARGO_PLAZO,ARRIESGADO,AHORRO,,NINGUNO,10 años,dependiente,421553,225987,SI,13
Jtfoyax,Jisxo,307381,jtfoyax.jisxo@gmail.com,307381,30,Agente de viaje,PROYECTOS_LARGO_PLAZO,ARRIESGADO,INVERSION,ETFS,NINGUNO,10 años,dependiente,622381,494271,SI,9
Fxulmxhp,Awtdeuz,592396,fxulmxhp.awtdeuz@gmail.com,592396,69,Operadores de equipos de radiodifusión,EDUCACION,ARRIESGADO,INVERSION,CDF,AVANZADO,1 año,dependiente,392456,335191,SI,4
Dyse,Hzebr,583490,dyse.hzebr@gmail.com,583490,59,Mecánico,LIBERTAD_FINANCIERA,MODERADO,INVERSION,OTROS,NINGUNO,5 meses,independiente,590093,468218,NO,44
Bsoba,Auhkbaaank,524981,bsoba.auhkbaaank@yahoo.com,524981,30,Recepcionista,JUBILACION,CONSERVADOR,AHORRO,,AVANZADO,10 años,dependiente,456234,448659,SI,82
